tile_filename,source_product,center_lat,center_lon,std_dev,prox_score,priority_score,rating,rating_label
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x11520_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.205119,355.481232,117.581,0.0,0.4,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x11520_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180373,355.460889,115.075,0.0,0.3872,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x09600_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.206011,355.442935,112.131,0.0,0.3722,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x08320_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.206601,355.417413,111.295,0.0,0.3679,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x07680_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.206895,355.404654,111.189,0.0,0.3673,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x08960_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.206307,355.430173,111.186,0.0,0.3673,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x10240_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.205715,355.455699,111.11,0.0,0.3669,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x07040_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.207187,355.391898,110.858,0.0,0.3657,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x10880_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.205417,355.468464,110.689,0.0,0.3648,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x05120_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.208058,355.353638,110.675,0.0,0.3647,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x01280_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.209773,355.277165,110.328,0.0,0.363,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x01920_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.209489,355.289906,109.817,0.0,0.3603,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x03200_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.20892,355.315394,109.147,0.0,0.3569,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x00000_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.210336,355.251687,108.893,0.0,0.3556,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x02560_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.209205,355.302649,108.36,0.0,0.3529,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x04480_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.208346,355.340888,108.129,0.0,0.3517,0,No target feature
ch2_ohr_ncp_20250516T1342347288_d_img_d18_x11520_y89600.png,ch2_ohr_ncp_20250516T1342347288_d_img_d18,60.016938,355.523271,107.645,0.0,0.3492,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x00000_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180986,355.229954,107.047,0.0,0.3462,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x04480_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180804,355.31997,106.929,0.0,0.3456,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x07040_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180668,355.371288,106.851,0.0,0.3452,0,No target feature
ch2_ohr_ncp_20250612T2229094979_d_img_d18_x00640_y79360.png,ch2_ohr_ncp_20250612T2229094979_d_img_d18,60.210055,355.264425,106.693,0.0,0.3444,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x03840_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180835,355.307127,106.381,0.0,0.3428,0,No target feature
ch2_ohr_ncp_20250516T1145499313_d_img_d18_x11520_y89600.png,ch2_ohr_ncp_20250516T1145499313_d_img_d18,60.033349,355.562225,106.032,0.0,0.341,0,No target feature
ch2_ohr_ncp_20250612T2031048828_d_img_d18_x00640_y79360.png,ch2_ohr_ncp_20250612T2031048828_d_img_d18,60.180965,355.24283,105.949,0.0,0.3406,0,No target feature
